Ticker Symbol,Security,Debt_to_Equity,Interest_Coverage
HCP,HCP Inc.,1.142121012114868,1.2841370653633475
HCP,HCP Inc.,1.4943010439658988,1.7908734439700003
HD,Home Depot,3.307156428119063,12.992383025027204
HES,Hess Corporation,0.33756318993087797,-11.486803519061583
HIG,Hartford Financial Svc.Gp.,0.3246313538557491,0.8052516411378556
HOG,Harley-Davidson,2.6338583233586315,95.92143269786251
HOLX,Hologic,2.1849600824105075,-3.2436855211668445
HOLX,Hologic,2.013184682501212,1.2180417044424297
HOLX,Hologic,1.5491535205848403,1.862287104622871
HP,Helmerich & Payne,0.10783930891211761,-2.17143106533409
HRB,Block H&R,65.0099554170454,9.257866651199212
HST,Host Hotels & Resorts,0.7928205128205128,1.061662198391421
HST,Host Hotels & Resorts,0.6584117321527393,1.7598684210526316
IBM,International Business Machines,2.9483485001685206,42.29338842975206
IBM,International Business Machines,2.3438507923152434,35.07051282051282
IDXX,IDEXX Laboratories,2.9783178460805337,16.97997277853393
IP,International Paper,2.088172043010753,2.4365733113673804
IP,International Paper,3.907569515962925,3.281081081081081
IRM,Iron Mountain Incorporated,3.2454001013938614,2.2234386786425335
IRM,Iron Mountain Incorporated,3.9560014137017667,1.6289825080456695
IRM,Iron Mountain Incorporated,5.329984644218811,1.8567642309477326
IRM,Iron Mountain Incorporated,9.349895153888935,1.6141864774833157
JWN,Nordstrom,3.208955223880597,8.808
K,Kellogg Co.,2.5299500831946755,6.076628352490421
K,Kellogg Co.,2.1280028684116172,4.947368421052632
K,Kellogg Co.,2.485432330827068,4.405286343612334
KEY,KeyCorp,6.286356266888381,
KEY,KeyCorp,5.501017490810338,
KEY,KeyCorp,2.4053167476440422,
KEY,KeyCorp,2.0718235739741435,
KIM,Kimco Realty,0.8804147184984344,1.052548539349948
KIM,Kimco Realty,0.9112739634622703,1.287429325292122
KIM,Kimco Realty,0.962550146236951,1.5030256332235632
KLAC,KLA-Tencor Corp.,7.529998410208832,5.095227763680442
KLAC,KLA-Tencor Corp.,4.437489297852024,7.983586546990325
KMB,Kimberly-Clark,7.821673525377229,8.940140845070422
KMI,Kinder Morgan,2.5881768884136562,
KMX,Carmax Inc,2.2129748685331943,26.85853278848025
KMX,Carmax Inc,2.793585879304419,40.60818044375434
KMX,Carmax Inc,3.5604423182981466,28.777765553660817
LB,L Brands Inc.,262.3333333333333,6.049382716049383
LMT,Lockheed Martin Corp.,4.618986115595738,10.704288939051919
LMT,Lockheed Martin Corp.,9.452018530774321,8.369532428355958
LUK,Leucadia National Corp.,0.8097892375145781,1.8288731057009382
LUK,Leucadia National Corp.,0.8277808397036815,1.3948048666315933
LUK,Leucadia National Corp.,0.7121857252967948,1.3922801774929832
LVLT,Level 3 Communications,7.2724167378309135,0.4897680763983629
LVLT,Level 3 Communications,5.904323175053154,0.8906009244992296
LVLT,Level 3 Communications,1.7262297658337262,1.363914373088685
LVLT,Level 3 Communications,1.0857199288959116,1.4408099688473521
MAA,Mid-America Apartments,1.1852585727418554,1.4842741016485603
MAC,Macerich,1.2842120682432656,0.9407798344208024
MAS,Masco Corp.,6.119856887298748,2.6425531914893616
MAS,Masco Corp.,3.159090909090909,3.2533333333333334
MCD,McDonald's Corp.,3.4032788272972248,
MCO,Moody's Corp,4.172897196261682,
MCO,Moody's Corp,6.2367952522255194,13.737472766884531
MDLZ,Mondelez International,0.48252571570206965,1.9522275899087493
MJN,Mead Johnson,81.45454545454545,12.850769230769231
MJN,Mead Johnson,3.458190541466758,19.266798418972332
MJN,Mead Johnson,2.5993383249172908,16.38971807628524
MO,Altria Group Inc,3.920138888888889,6.752220248667851
MO,Altria Group Inc,3.396941005098325,7.617731172545281
MO,Altria Group Inc,4.54313205043132,10.621287128712872
MO,Altria Group Inc,4.484375,10.887392900856794
MTD,Mettler Toledo,2.0118866150277164,18.990187682865912
MU,Micron Technology,0.7577814569536424,0.35697940503432496
MUR,Murphy Oil,0.5729696340193053,-26.96389350372737
NBL,Noble Energy Inc,0.7691417550626808,-7.437262357414449
NBL,Noble Energy Inc,0.7548449612403101,-4.402439024390244
NEM,Newmont Mining Corp. (Hldg. Co.),0.6149304513159212,-10.900990099009901
NFX,Newfield Exploration Co,1.0953237410071943,-9.02919708029197
NFX,Newfield Exploration Co,1.7889775199419868,-36.76335877862596
NOV,National Oilwell Varco Inc.,0.23976072758347067,-4.718446601941747
OKE,ONEOK,3.0594217060502658,4.612662957944437
OKE,ONEOK,3.3165744951239406,3.790249994457705
OKE,ONEOK,12.075596801297046,3.3019600576140697
OKE,ONEOK,24.78746746555965,2.252140781742233
OMC,Omnicom Group,2.2759019426456986,9.783023366714353
OXY,Occidental Petroleum,0.2826694045174538,-64.87755102040816
PBI,Pitney-Bowes,32.92363803997071,5.441368417398549
PBI,Pitney-Bowes,16.309388037587244,4.513874144305744
PBI,Pitney-Bowes,37.88719760804567,5.744256667546871
PBI,Pitney-Bowes,14.032553533160625,7.974241576561662
PEP,PepsiCo Inc.,2.420699370235333,8.672164948453608
PEP,PepsiCo Inc.,2.6723279388226926,7.373323397913562
PNR,Pentair Ltd.,0.3852239016810284,-1.0811965811965811
PNR,Pentair Ltd.,1.1747405707443623,1.655933762649494
PX,Praxair Inc.,2.044884939621782,14.416149068322982
QRVO,Qorvo,0.19763896511611162,0.8772516726711271
R,Ryder System,2.0719976759806698,3.627133124025544
R,Ryder System,2.580599498539652,3.3370826107683484
R,Ryder System,2.4498364711382505,4.119075474959118
R,Ryder System,2.241348747122096,3.7487334537313233
RCL,Royal Caribbean Cruises Ltd,0.8389306260184295,1.0724819764745563
RRC,Range Resources Corp.,1.2209191343654344,1.148437777698788
RRC,Range Resources Corp.,1.300715856020331,1.8471994879840505
RRC,Range Resources Corp.,0.9607360767167525,-5.32280895703531
SBUX,Starbucks Corp.,0.2900316950136155,-7.181494661921708
SE,Spectra Energy Corp.,1.9754826846460312,1.9764150943396226
SEE,Sealed Air,2.909322213583999,1.499168975069252
SEE,Sealed Air,3.6824905400756793,1.9287452207160236
SEE,Sealed Air,8.094858660595712,2.87044356609574
SEE,Sealed Air,6.459406265376415,3.655560769591741
SHW,Sherwin-Williams,2.2124367733981636,26.06782541146769
SLG,SL Green Realty,1.0106134114416614,1.2077621810831145
SNI,Scripps Networks Interactive Inc.,2.3039743925413947,11.383111053523004
SPG,Simon Property Group Inc,3.910431304555559,2.346952435963568
SPG,Simon Property Group Inc,3.875593008931163,2.0723901445455564
SPG,Simon Property Group Inc,4.0942996876016675,2.4057924583996995
SPG,Simon Property Group Inc,5.03239498294071,3.007767698715055
SPGI,"S&P Global, Inc.",1.6290983606557377,1.9152542372881356
SPGI,"S&P Global, Inc.",17.876288659793815,18.794117647058822
SPGI,"S&P Global, Inc.",5.483076923076923,18.613259668508288
STX,Seagate Technology,2.5925925925925926,2.4196891191709846
SWN,Southwestern Energy,0.5495202037503557,-31.857142857142858
SWN,Southwestern Energy,2.0718667835232254,-116.16071428571429
SYY,Sysco Corp.,2.1085507333009925,5.680796090754085
TDC,Teradata Corp.,0.6713780918727915,-15.0
TGNA,"Tegna, Inc.",1.3764853711227738,1.6396252102186273
UAL,United Continental Holdings,23.35135135135135,0.09273182957393483
UAL,United Continental Holdings,3.660857908847185,1.7343324250681198
UAL,United Continental Holdings,4.392320534223706,2.651537335285505
UDR,UDR Inc,1.1391342089119776,0.4481886564067093
UDR,UDR Inc,1.253251829532004,0.9606687658129962
UDR,UDR Inc,1.3035365838944653,1.008907354316464
UDR,UDR Inc,1.2314126538276509,1.8336082051282052
UPS,United Parcel Service,2.3831936385127874,3.4783715012722647
UPS,United Parcel Service,4.603456328818309,14.135977337110482
UPS,United Parcel Service,4.581376518218623,22.530791788856305
VIAB,Viacom Inc.,2.2851916040824185,8.58405172413793
VIAB,Viacom Inc.,3.4097875773057273,6.713821138211382
VIAB,Viacom Inc.,3.4672131147540983,4.809741248097413
VIAB,Viacom Inc.,2.7813888239420153,4.23051948051948
VMC,Vulcan Materials,0.6717254328697586,0.4348350518850878
VMC,Vulcan Materials,0.6404710792446927,0.98172152348609
VNO,Vornado Realty Trust,1.4750001182516728,0.9716474627861206
VRSK,Verisk Analytics,4.953859877695224,7.893391074088377
VRSK,Verisk Analytics,2.3218855747650156,8.076021855626774
VRSK,Verisk Analytics,5.216349274792341,9.439357567443988
VRTX,Vertex Pharmaceuticals Inc,0.36102122891024435,-26.307162173950974
VRTX,Vertex Pharmaceuticals Inc,0.7376098365962609,-9.08570879595954
VRTX,Vertex Pharmaceuticals Inc,0.7867329384967771,-5.624231052419067
VTR,Ventas Inc,1.1717495648151721,1.9971997799048797
VZ,Verizon Communications,2.308631166958492,11.977502812148481
VZ,Verizon Communications,8.988128150918849,4.106815869786368
VZ,Verizon Communications,6.312697832968103,6.739837398373984
WDC,Western Digital,1.2256617317182592,1.5751879699248121
WLTW,Willis Towers Watson,1.384932313125368,-1.6328125
WMB,Williams Cos.,2.2590488215488214,3.5324165029469548
WMB,Williams Cos.,2.3340871710526314,3.1176470588235294
WMB,Williams Cos.,2.3675515552010937,5.7978580990629185
WMB,Williams Cos.,3.8731294729993495,-0.6408045977011494
WRK,WestRock Company,0.5649514842529397,1.9528632645111024
WY,Weyerhaeuser Corp.,0.9538083538083538,1.936046511627907
WY,Weyerhaeuser Corp.,0.7197939661515821,1.867208672086721
WYN,Wyndham Worldwide,2.0818652849740933,5.757575757575758
WYN,Wyndham Worldwide,2.8391866913123844,6.213740458015267
WYN,Wyndham Worldwide,3.8183266932270916,8.47787610619469
WYN,Wyndham Worldwide,5.21578947368421,8.328
WYNN,Wynn Resorts Ltd,-82.27225640521884,1.9612536805514014
XEC,Cimarex Energy,0.5310189378477438,-67.5748681037765
YUM,Yum! Brands Inc,3.352360043907794,14.335820895522389
ZBH,Zimmer Biomet Holdings,1.168731479889562,1.534542916957432
ZTS,Zoetis,3.926595744680851,7.106194690265487
ZTS,Zoetis,2.807780320366133,8.008547008547009
ZTS,Zoetis,4.237827715355805,5.395161290322581
ZTS,Zoetis,3.0537995965030262,8.397590361445783
